Symbol,Sector,Sub-Industry,Headquarter,Founded
RMD,Health Care,Health Care Equipment,"San Diego, California",1989
RVTY,Health Care,Health Care Equipment,"Waltham, Massachusetts",1937
RHI,Industrials,Human Resource & Employment Services,"Menlo Park, California",1948
ROK,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",1903
ROL,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",1948
ROP,Information Technology,Electronic Equipment & Instruments,"Sarasota, Florida",1981
ROST,Consumer Discretionary,Apparel Retail,"Dublin, California",1982
RCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1997
SPGI,Financials,Financial Exchanges & Data,"New York City, New York",1917
CRM,Information Technology,Application Software,"San Francisco, California",1999
SBAC,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",1989
SLB,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1926
STX,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1979
SEE,Materials,Paper & Plastic Packaging Products & Materials,"Charlotte, North Carolina",1960
SRE,Utilities,Multi-Utilities,"San Diego, California",1998
NOW,Information Technology,Systems Software,"Santa Clara, California",2003
SHW,Materials,Specialty Chemicals,"Cleveland, Ohio",1866
SPG,Real Estate,Retail REITs,"Indianapolis, Indiana",2003
SWKS,Information Technology,Semiconductors,"Irvine, California",2002
SJM,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",1897
SNA,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1920
SEDG,Information Technology,Semiconductor Materials & Equipment,"Herzliya, Israel",2006
SO,Utilities,Electric Utilities,"Atlanta, Georgia",1945
LUV,Industrials,Passenger Airlines,"Dallas, Texas",1967
SWK,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1843
SBUX,Consumer Discretionary,Restaurants,"Seattle, Washington",1971
STT,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",1792
STLD,Materials,Steel,"Fort Wayne, Indiana",1993
STE,Health Care,Health Care Equipment,"Dublin, Ireland",1985
SYK,Health Care,Health Care Equipment,"Kalamazoo, Michigan",1941
SYF,Financials,Consumer Finance,"Stamford, Connecticut",2003
SNPS,Information Technology,Application Software,"Sunnyvale, California",1986
SYY,Consumer Staples,Food Distributors,"Houston, Texas",1969
TMUS,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1994
TROW,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",1937
TTWO,Communication Services,Interactive Home Entertainment,"New York City, New York",1993
TPR,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2017
TRGP,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2005
TGT,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1902
TEL,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2007
TDY,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",1960
TFX,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1943
TER,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",1960
TSLA,Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",2003
TXN,Information Technology,Semiconductors,"Dallas, Texas",1930
TXT,Industrials,Aerospace & Defense,"Providence, Rhode Island",1923
TMO,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2006
TJX,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1987
TSCO,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",1938
TT,Industrials,Building Products,"Dublin, Ireland",1871
TDG,Industrials,Aerospace & Defense,"Cleveland, Ohio",1993
TRV,Financials,Property & Casualty Insurance,"New York City, New York",1853
TRMB,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",1978
TFC,Financials,Regional Banks,"Charlotte, North Carolina",1872
TYL,Information Technology,Application Software,"Plano, Texas",1966
TSN,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",1935
USB,Financials,Diversified Banks,"Minneapolis, Minnesota",1968
UDR,Real Estate,Residential REITs,"Highlands Ranch, Colorado",1972
ULTA,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1990
UNP,Industrials,Rail Transportation,"Omaha, Nebraska",1862
UAL,Industrials,Passenger Airlines,"Chicago, Illinois",1967
UPS,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",1907
URI,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1997
UNH,Health Care,Managed Health Care,"Minnetonka, Minnesota",1977
UHS,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",1979
VLO,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",1980
VTR,Real Estate,Health Care REITs,"Chicago, Illinois",1998
VRSN,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1995
VRSK,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1971
VZ,Communication Services,Integrated Telecommunication Services,"New York City, New York",1983
VRTX,Health Care,Biotechnology,"Cambridge, Massachusetts",1989
VFC,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1899
VTRS,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1961
VICI,Real Estate,Hotel & Resort REITs,"New York City, New York",2017
V,Financials,Transaction & Payment Processing Services,"San Francisco, California",1958
VMC,Materials,Construction Materials,"Birmingham, Alabama",1909
WAB,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",1999
WBA,Consumer Staples,Drug Retail,"Deerfield, Illinois",2014
WMT,Consumer Staples,Consumer Staples Merchandise Retail,"Bentonville, Arkansas",1962
WBD,Communication Services,Broadcasting,"New York City, New York",2022
WM,Industrials,Environmental & Facilities Services,"Houston, Texas",1968
WAT,Health Care,Health Care Distributors,"Milford, Massachusetts",1958
WEC,Utilities,Electric Utilities,"Milwaukee, Wisconsin",1896
WFC,Financials,Diversified Banks,"San Francisco, California",1852
WELL,Real Estate,Health Care REITs,"Toledo, Ohio",1970
WST,Health Care,Health Care Supplies,"Exton, Pennsylvania",1923
WDC,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",1970
WRK,Materials,Paper & Plastic Packaging Products & Materials,"Atlanta, Georgia",2015
WY,Real Estate,Timber REITs,"Seattle, Washington",1900
WHR,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",1911
WMB,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1908
WTW,Financials,Insurance Brokers,"London, United Kingdom",2016
GWW,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",1927
WYNN,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2002
XEL,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1909
XYL,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",2011
YUM,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997
ZBRA,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",1969
ZBH,Health Care,Health Care Equipment,"Warsaw, Indiana",1927
ZION,Financials,Regional Banks,"Salt Lake City, Utah",1873
ZTS,Health Care,Pharmaceuticals,"Parsippany, New Jersey",1952
