Symbol,Sector,Sub-Industry,Headquarter,Founded
CARR,Industrials,Building Products,"Palm Beach Gardens, Florida",2020
CTLT,Health Care,Pharmaceuticals,"Somerset, New Jersey",2007
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1925
CBOE,Financials,Financial Exchanges & Data,"Chicago, Illinois",1973
CBRE,Real Estate,Real Estate Services,"Dallas, Texas",1906
CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",1984
CE,Materials,Specialty Chemicals,"Irving, Texas",1918
CNC,Health Care,Managed Health Care,"St. Louis, Missouri",1984
CNP,Utilities,Multi-Utilities,"Houston, Texas",1882
CDAY,Information Technology,Application Software,"Minneapolis, Minnesota",1992
CF,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1946
CRL,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1947
SCHW,Financials,Investment Banking & Brokerage,"Westlake, Texas",1971
CHTR,Communication Services,Cable & Satellite,"Stamford, Connecticut",1993
CVX,Energy,Integrated Oil & Gas,"San Ramon, California",1879
CMG,Consumer Discretionary,Restaurants,"Newport Beach, California",1993
CB,Financials,Property & Casualty Insurance,"Zurich, Switzerland",1985
CHD,Consumer Staples,Household Products,"Ewing, New Jersey",1847
CI,Health Care,Managed Health Care,"Bloomfield, Connecticut",1982
CINF,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1950
CTAS,Industrials,Diversified Support Services,"Mason, Ohio",1929
CSCO,Information Technology,Communications Equipment,"San Jose, California",1984
C,Financials,Diversified Banks,"New York City, New York",1998
CFG,Financials,Regional Banks,"Providence, Rhode Island",1828
CLX,Consumer Staples,Household Products,"Oakland, California",1913
CME,Financials,Financial Exchanges & Data,"Chicago, Illinois",1848
CMS,Utilities,Multi-Utilities,"Jackson, Michigan",1886
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia",1886
CTSH,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1994
CL,Consumer Staples,Household Products,"New York City, New York",1806
CMCSA,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1963
CMA,Financials,Diversified Banks,"Dallas, Texas",1849
CAG,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1919
COP,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2002
ED,Utilities,Electric Utilities,"New York City, New York",1823
STZ,Consumer Staples,Distillers & Vintners,"Victor, New York",1945
CEG,Utilities,Multi-Utilities,"Baltimore, Maryland",1999
COO,Health Care,Health Care Supplies,"San Ramon, California",1958
CPRT,Industrials,Diversified Support Services,"Dallas, Texas",1982
GLW,Information Technology,Electronic Components,"Corning, New York",1851
CTVA,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",2019
CSGP,Industrials,Research & Consulting Services,"Washington, D.C.",1987
COST,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",1976
CTRA,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2021
CCI,Real Estate,Telecom Tower REITs,"Houston, Texas",1994
CSX,Industrials,Rail Transportation,"Jacksonville, Florida",1980
CMI,Industrials,Industrial Machinery & Supplies & Components,"Columbus, Indiana",1919
CVS,Health Care,Health Care Services,"Woonsocket, Rhode Island",1996
DHI,Consumer Discretionary,Homebuilding,"Arlington, Texas",1978
DHR,Health Care,Health Care Equipment,"Washington, D.C.",1969
DRI,Consumer Discretionary,Restaurants,"Orlando, Florida",1938
DVA,Health Care,Health Care Facilities,"Denver, Colorado",1979
DE,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1837
DAL,Industrials,Passenger Airlines,"Atlanta, Georgia",1929
XRAY,Health Care,Health Care Supplies,"Charlotte, North Carolina",2016
DVN,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1971
DXCM,Health Care,Health Care Equipment,"San Diego, California",1999
FANG,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2007
DLR,Real Estate,Data Center REITs,"Austin, Texas",2004
DFS,Financials,Consumer Finance,"Riverwoods, Illinois",1985
DIS,Communication Services,Movies & Entertainment,"Burbank, California",1923
DG,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",1939
